Year,Age,Survivors
1795,70,31325
1800,70,31745
1805,70,29787
1810,70,25680
1815,70,27268
1820,70,26976
1825,70,26779
1830,70,27425
1835,70,28919
1840,70,26472
1845,70,29154
1850,70,31495
1855,70,31770
1860,70,33892
1865,70,32412
1870,70,30001
1875,70,26370
1750,75,17469
1755,75,19933
1760,75,18765
1765,75,18975
1770,75,17889
1775,75,18880
1780,75,19612
1785,75,20250
1790,75,19617
1795,75,20460
1800,75,20385
1805,75,19257
1810,75,16173
1815,75,17398
1820,75,17396
1825,75,16784
1830,75,17447
1835,75,18143
1840,75,16736
1845,75,18212
1850,75,19364
1855,75,19875
1860,75,21009
1865,75,19877
1870,75,18805
1875,75,16558
1750,80,7516
1755,80,10459
1760,80,10235
1765,80,9520
1770,80,10106
1775,80,10688
1780,80,11045
1785,80,11194
1790,80,11303
1795,80,11578
1800,80,11625
1805,80,11189
1810,80,9487
1815,80,10715
1820,80,10862
1825,80,10219
1830,80,10093
1835,80,11102
1840,80,10083
1845,80,11129
1850,80,11748
1855,80,12280
1860,80,12237
1865,80,11958
1870,80,11810
1875,80,10418
1750,85,3934
1755,85,4347
1760,85,3831
1765,85,4207
1770,85,4170
1775,85,4869
1780,85,5012
1785,85,5502
1790,85,5217
1795,85,5505
1800,85,5584
1805,85,5543
1810,85,4584
1815,85,5397
1820,85,5714
1825,85,5321
1830,85,5283
1835,85,6290
1840,85,5444
1845,85,6272
1850,85,6360
1855,85,6866
1860,85,7012
1865,85,6696
1870,85,7016
1875,85,6286
1750,90,1171
1755,90,1088
1760,90,1193
1765,90,1182
1770,90,1281
1775,90,1482
1780,90,1417
1785,90,1618
1790,90,1500
1795,90,1756
1800,90,1693
1805,90,1797
1810,90,1528
1815,90,1776
1820,90,1945
1825,90,1819
1830,90,1837
1835,90,2220
1840,90,2034
1845,90,2400
1850,90,2513
1855,90,2734
1860,90,2765
1865,90,2793
1870,90,2600
1875,90,2402
1750,95,193
1755,95,206
1760,95,211
1765,95,221
1770,95,255
1775,95,317
1780,95,316
1785,95,319
1790,95,335
1795,95,373
1800,95,381
1805,95,381
1810,95,316
1815,95,366
1820,95,377
1825,95,361
1830,95,400
1835,95,432
1840,95,422
1845,95,481
1850,95,501
1855,95,521
1860,95,518
1865,95,517
1870,95,507
1875,95,485
1750,100,0
1755,100,0
1760,100,0
1765,100,0
1770,100,0
1775,100,0
1780,100,0
1785,100,0
1790,100,0
1795,100,0
1800,100,0
1805,100,0
1810,100,0
1815,100,0
1820,100,0
1825,100,0
1830,100,0
1835,100,0
1840,100,0
1845,100,0
1850,100,0
1855,100,0
1860,100,0
1865,100,0
1870,100,0
1875,100,0
